ZADANIE_1,DONE
ZADANIE_2,DONE
ZADANIE_3,DONE
ZADANIE_4,DONE
ZADANIE_5,DONE
ZADANIE_6,DONE
ZADANIE_7,DONE
ZADANIE_8,DONE
ZADANIE_9,DONE
ZADANIE_10,DONE
ZADANIE_11,DONE
ZADANIE_12,DONE
ZADANIE_13,DONE
ZADANIE_14,DONE
ZADANIE_15,DONE
ZADANIE_16,DONE
ZADANIE_17,DONE
ZADANIE_18,DONE
ZADANIE_19,DONE
ZADANIE_20,DONE
ZADANIE_21,DONE
ZADANIE_22,DONE
ZADANIE_23,DONE
ZADANIE_24,DONE
ZADANIE_25,DONE
ZADANIE_26,DONE
ZADANIE_27,DONE
ZADANIE_28,DONE
ZADANIE_29,DONE
ZADANIE_30,DONE
ZADANIE_31,DONE
ZADANIE_32,DONE
ZADANIE_33,DONE
ZADANIE_34,DONE
ZADANIE_35,DONE
ZADANIE_36,DONE
ZADANIE_37,DONE
ZADANIE_38,DONE
ZADANIE_39,DONE
ZADANIE_40,DONE
ZADANIE_41,DONE
ZADANIE_42,DONE
ZADANIE_43,DONE
ZADANIE_44,DONE
ZADANIE_45,DONE
ZADANIE_46,DONE
ZADANIE_47,DONE
ZADANIE_48,DONE
ZADANIE_49,DONE
ZADANIE_50,DONE
ZADANIE_51,DONE
ZADANIE_52,DONE
ZADANIE_53,DONE
ZADANIE_54,DONE
ZADANIE_55,DONE
ZADANIE_56,DONE
ZADANIE_57,DONE
ZADANIE_58,DONE
ZADANIE_59,DONE
ZADANIE_60,DONE
ZADANIE_61,DONE
ZADANIE_62,DONE
ZADANIE_63,DONE
ZADANIE_64,IN_PROGRESS
ZADANIE_65,IN_PROGRESS
ZADANIE_66,IN_PROGRESS
ZADANIE_67,PENDING
ZADANIE_68,PENDING
ZADANIE_69,PENDING
ZADANIE_70,PENDING
ZADANIE_71,PENDING
ZADANIE_72,PENDING
ZADANIE_73,PENDING
ZADANIE_74,PENDING
ZADANIE_75,PENDING
ZADANIE_76,PENDING
ZADANIE_77,PENDING
ZADANIE_78,PENDING
ZADANIE_79,PENDING
ZADANIE_80,PENDING
ZADANIE_81,PENDING
ZADANIE_82,PENDING
ZADANIE_83,PENDING
ZADANIE_84,PENDING
ZADANIE_85,PENDING
ZADANIE_86,PENDING
ZADANIE_87,PENDING
ZADANIE_88,PENDING
ZADANIE_89,PENDING
ZADANIE_90,PENDING
ZADANIE_91,PENDING
ZADANIE_92,PENDING
ZADANIE_93,PENDING
ZADANIE_94,PENDING
ZADANIE_95,PENDING
ZADANIE_96,PENDING
ZADANIE_97,PENDING
ZADANIE_98,PENDING
ZADANIE_99,PENDING
ZADANIE_100,PENDING
